Student ID,Rollno,Name,DOB,Gender,Course,Section,No of Sub,Enrollement Year,Pending Fee,Email,Phone No,Address
3,2000,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
9,2001,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
15,2002,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
21,2003,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
27,2004,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
33,2005,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
39,2006,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
45,2007,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
51,2008,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
57,2009,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
63,2010,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
69,2011,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
75,2012,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
81,2013,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
87,2014,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
93,2015,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
99,2016,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
105,2017,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
111,2018,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
117,2019,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
123,2020,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
129,2021,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
135,2022,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
141,2023,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
147,2024,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
153,2025,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
159,2026,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
165,2027,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
171,2028,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
177,2029,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
183,2030,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
189,2031,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
195,2032,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
201,2033,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
207,2034,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
213,2035,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
219,2036,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
225,2037,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
231,2038,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
237,2039,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
243,2040,Rohit Mehta,8-11-2000,M,MCA,A,5,2022,12000,rohit@mail.com,9988776655,"7C,Lake View,Pune,Maharashtra,India,411001"
